IRM_STATE_OFFICE,IRM_DEPOT_NAME,IRM_CONSUMER_NAME,IRM_ERP_CONSUMER_CODE,IRM_LATITUDE,IRM_LONGITUDE,IRM_ROUTE_STATUS,IRM_ROUTE_VERIFIED_BY,IRM_ROUTE_VERIFIED_AT,IRM_ROUTE_DISTANCE,IRM_ROUTE_ID,IRM_IS_NEW,IRM_CREATED_AT,IRM_CREATED_BY,IRM_UPDATED_AT,IRM_UPDATED_BY,IRM_ISACTIVE,IRM_CUSTOMER_ID,IRM_GROUP_NO,IRM_IS_REJECTED
Uttar Pradesh 1 (NR),Allahabad Terminal,DURGA FILLING STATION,262396,26.221502,82.098083,Accepted,Sachin Tiwari,11-Sep-15,151,20782,0,2/6/2015 12:12,,2/6/2015 12:12,16,1,1,10132,N
Uttar Pradesh 1 (NR),GONDA DEPOT,DURGA FILLING STATION,156244,26.6978,82.84594,Accepted,VERMA,29-Apr-11,123,13625,1,7/25/2014 12:28,,,,1,1,478,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,DURGA FILLING STATION,186466,26.160532,83.117256,Accepted,R R,25-Oct-11,142,5551,1,7/25/2014 12:35,,,,1,1,1546,N
Punjab (NR),BATHINDA TERMINAL,DURGA FILLING STATION-,206287,29.789066,75.150047,Accepted,Ajith Singh,21-Jan-15,52,16145,1,10/15/2014 14:56,1,,,1,1,5668,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,DURGA MAA FILLING STATION,186344,27.318884,79.851921,Accepted,Kanpur,24-Dec-11,133.5,5546,1,7/25/2014 12:30,,,,1,1,812,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,DURGA MOTORS,156196,26.001961,83.450939,Accepted,R R,14-Jan-12,138,13579,1,7/25/2014 12:35,,,,1,1,1548,N
Karnataka (SR),Bijapur Depot,DURGA PETROLEUM,209253,16.142122,75.602453,Accepted,SHETTIGAR,24-Feb-11,88.5,22025,1,2/5/2015 9:21,,,,1,1,16939,N
Uttar Pradesh 1 (NR),Allahabad Terminal,DURGESH NANDINI AUTOMOBILES,156030,,,Accepted,VIJAY,15-Sep-15,137.8866836,598081,1,12/26/2014 16:30,6,,,1,1,12849,N
Punjab (NR),JALANDHAR TERMINAL,DUTTA SERVICE STATION-818,109073,32.21371,75.663208,Accepted,DUVEDIJ,18-Jan-12,106,15051,1,10/15/2014 14:56,1,,,1,1,6328,N
Punjab (NR),Jalandhar Terminal,DUTTA SERVICE STATION-818,109073,32.21371,75.663208,Accepted,A_BHARDWAJ,22-Dec-14,,595303,0,12/22/2014 22:07,1,12/22/2014 22:07,6286,1,1,6328,N
Uttar Pradesh 2 (NR),Bareilly Depot,DWARIKA BHAGWATI KSK (KSK),207190,28.315636,79.657809,Accepted,M K Gupta,14-Mar-12,68,9047,1,1/8/2015 21:42,1,,,1,1,13449,N
Delhi (NR),Bijwasan Terminal,"Dy CMM, Railway, Shakurbasti",500475,28.683822,77.126653,Accepted,Bijwasan,6-Sep-11,104,23015,1,7/25/2014 12:49,,,,1,1,2569,N
Uttar Pradesh 1 (NR),Allahabad Terminal,EAST CENTRAL RAILWAY,540243,,,Accepted,VIJAY,15-Sep-15,283.2018912,598013,1,12/23/2014 15:40,6,,,1,1,12782,N
Karnataka (SR),Hassan Top,EMBITEE COMPLEX,118129,15.266245,76.395477,Accepted,VIJAYAKUMAR,26-Jul-11,319,53030,1,2/5/2015 9:21,,,,1,1,17823,N
Punjab (NR),JALANDHAR TERMINAL,"EMCURE PHARMACEUTICALS LTD.,",227078,32.640819,74.933046,Accepted,GAGANDEEP SINGH GREWAL,21-Jan-13,218.5,22653,1,10/15/2014 14:56,1,,,1,1,6283,N
Delhi (NR),Bijwasan Terminal,Endurance Technologies Pvt. Ltd.,184401,28.378748,76.891754,Accepted,V,10-Sep-11,35.5,13142,1,7/25/2014 12:49,,,,1,1,2576,N
Delhi (NR),REWARI TERMINAL,Endurance Technologies Pvt. Ltd.,184401,28.378748,76.891754,Accepted,DSO,11-Dec-11,53.5,115048,1,7/25/2014 12:59,,,,1,1,4080,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,ENGINEER FILLING CENTRE,254277,25.631498,84.005791,Accepted,R R,17-Jan-12,133.5,17718,1,7/25/2014 12:35,,,,1,1,1552,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,ENGINEERS S/STATION KANPUR,154720,26.476366,80.325027,Accepted,Kanpur,7-Jul-11,19.5,71021,1,7/25/2014 12:30,,,,1,1,816,N
Uttar Pradesh 2 (NR),Najibabad Depot,ENGINEERS SERVICE CENTRE,161639,29.463119,77.696703,Accepted,VG,8-Jul-11,88.5,92051,1,1/8/2015 21:42,1,,,1,1,14287,N
Delhi (NR),Bijwasan Terminal,Enrich Agro Foods Products Ltd.,106975,28.509156,77.086592,Accepted,sumit gupta,30-Aug-11,6.8,13148,1,7/25/2014 12:49,,,,1,1,2578,N
Delhi (NR),REWARI TERMINAL,Enrich Agro Foods Products Ltd.,106975,28.509156,77.086592,Accepted,DSO,10-Dec-11,68.5,115050,1,7/25/2014 12:59,,,,1,1,4083,N
Uttar Pradesh 2 (NR),Najibabad Depot,ERA INFRA ENGINEERING LTD.,246146,29.5935,77.8082,Accepted,AB,22-May-12,99,18589,1,1/8/2015 21:42,1,,,1,1,14662,N
Delhi (NR),Bijwasan Terminal,"Escorts Ltd. - Plant-I, Tractor Division",101930,28.388676,77.315063,Accepted,V,5-Sep-11,40.5,13163,1,7/25/2014 12:49,,,,1,1,2583,N
Delhi (NR),REWARI TERMINAL,"Escorts Ltd. - Plant-I, Tractor Division",101930,28.388676,77.315063,Accepted,DSO,14-Dec-11,99.5,115055,1,7/25/2014 12:59,,,,1,1,4084,N
Karnataka (SR),Belgaum Depot,ESKAY PETROLEUMS,206370,15.902398,74.522089,Accepted,KASO CMC,16-Aug-11,21.5,33010,1,2/5/2015 9:21,,,,1,1,16904,N
Punjab (NR),Bathinda Terminal,ESS ESS F. ST,187174,30.661625,75.099821,Accepted,A S DHILLON,22-Mar-15,,16015,0,2/12/2015 13:06,1,2/12/2015 13:06,3135,1,1,5702,N
Uttar Pradesh 2 (NR),Agra Top,ETAH INDIAN OIL,216123,27.546967,78.634781,Accepted,Agra Top,17-Mar-12,63,470,1,1/8/2015 21:42,1,,,1,1,13664,N
Karnataka (SR),Navalur Depot,EVERGREEN PETROLIUM,202551,15.331392,75.142844,Accepted,T,15-Feb-11,14,96019,1,2/5/2015 9:21,,,,1,1,18059,N
Uttar Pradesh 2 (NR),Meerut Terminal,EVES FILLING POINT,193821,28.981452,77.709347,Accepted,Partapur,,19.5,104047,1,1/8/2015 21:42,1,,,1,1,15149,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,"EXECUTIVE ENGINEER-PPH, KANPUR",154722,26.47529,80.244194,Accepted,H U,16-Jun-11,19.5,587555,1,7/25/2014 12:30,,,,1,1,817,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,EXPRESS INDIA KSK,205712,26.7086,80.7405,Accepted,Kanpur,30-Nov-11,86,3582,1,7/25/2014 12:30,,,,1,1,815,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,EXPRESS INDIA KSK,205712,26.7086,80.7405,Accepted,SUNIL SAXENA,19-Jul-11,27,8909,1,7/25/2014 12:34,,,,1,1,1277,N
Punjab (NR),BATHINDA TERMINAL,FAIR DEAL FILLING STATION-,193088,30.007478,75.423057,Accepted,Pradeep Sharma,25-Jan-15,56,16148,1,10/15/2014 14:56,1,,,1,1,5631,N
Uttar Pradesh 2 (NR),Bareilly Depot,FAIR EXPORTS (INDIA) PVT. LTD.,532974,28.795588,79.05497,Accepted,KAILASH CHANDRA VIMAL,10-Jan-13,77.5,19351,1,1/8/2015 21:42,1,,,1,1,13447,N
Delhi (NR),Bijwasan Terminal,Fair Exports (India) Pvt. Ltd.,189826,28.646269,77.325203,Accepted,Bijwasan,20-Jul-11,41.5,11321,1,7/25/2014 12:49,,,,1,1,2590,N
Uttar Pradesh 2 (NR),Bareilly Depot,FARID KISAN SEWA KENDRA,260990,28.571152,80.387413,Accepted,Vivek Bharti,13-Sep-12,241,20375,1,1/8/2015 21:42,1,,,1,1,13322,N
Uttar Pradesh 2 (NR),Bareilly Depot,FARMERS AGRO SERVICE CENTRE,155992,28.214002,79.050178,Accepted,Aonla,22-Dec-11,17,9050,1,1/8/2015 21:42,1,,,1,1,13197,N
Punjab (NR),Sangrur Terminal,FARMIER INC.,211420,30.487165,76.818542,Accepted,A_KUMAR_SAN,8-Mar-15,,3337,0,3/8/2015 11:45,1,3/8/2015 11:45,10079,1,1,7411,N
Punjab (NR),Sangrur Terminal,FARMIER INC.,211420,30.487165,76.818542,Accepted,A_KUMAR_SAN,8-Mar-15,,599734,0,3/8/2015 11:45,6,3/8/2015 11:45,10079,1,1,7411,N
Punjab (NR),SANGRUR TERMINAL,FATEHGARH SAHIB FILLING STATION,150824,30.642736,76.411269,Accepted,Amarendra Kumar,8-Mar-15,97,123148,1,10/15/2014 14:56,1,,,1,1,7446,N
Uttar Pradesh 1 (NR),Kanpur Terminal,FATEHPUR FILLING CENTER,275250,,,Accepted,ABHYUDAYA_KUMAR,24-Aug-15,158.9850947,592829,1,10/8/2014 10:30,6,,,1,1,5233,N
Uttar Pradesh 1 (NR),Lucknow Terminal,FATEHPUR FILLING CENTER,275250,27.170917,81.220462,Accepted,Shobhit Srivastava,30-Sep-15,79.65214112,591601,1,10/4/2014 17:00,6,,,1,1,4946,N
Punjab (NR),Bathinda Terminal,FAUJI SERVICE STATION,187197,29.992853,75.387706,Accepted,Pradeep Sharma,25-Jan-15,,16150,0,1/22/2015 17:54,1,1/22/2015 17:54,3132,1,1,5630,N
Karnataka (SR),Navalur Depot,FEENIKS PETROLEUMS,262757,15.367743,76.170807,Accepted,null,22-Jan-13,,20962,1,2/5/2015 9:21,,,,1,1,18114,N
Delhi (NR),PANIPAT TOP,FIEM INDUSTRIES LTD.,188871,28.878231,77.119804,Accepted,AK,20-Jun-11,80,588331,1,7/25/2014 12:54,,,,1,1,3121,N
Delhi (NR),PANIPAT TOP,FIEM INDUSTRIES LTD. Unit II,527880,28.927465,77.09478,Accepted,Panipat,24-Feb-11,72.5,588330,1,7/25/2014 12:54,,,,1,1,3122,N
Punjab ( NR ),JAMMU DEPOT,FILL & FLY FILLING STATION,109107,33.911532,75.017702,Accepted,BHUSHAN SHARMA,19-Dec-10,270,62021,1,10/15/2014 14:56,1,,,1,1,7063,N
Uttar Pradesh 2 (NR),Agra Top,FIROZABAD FUELS & SERVICES,180505,27.153322,78.390585,Accepted,Agra Top,,24,1041,1,1/8/2015 21:42,1,,,1,1,13490,N
Uttar Pradesh 2 (NR),Najibabad Depot,FLEXITUFF INTERNATIONAL,224205,29.128248,78.940657,Accepted,ABHISHEK AGGARWAL,20-Mar-13,120,5597,1,1/8/2015 21:42,1,,,1,1,14410,N
Delhi (NR),Bijwasan Terminal,Fortune Service Station,106259,28.727512,77.142891,Accepted,Bijwasan,14-Jan-11,35.5,23016,1,7/25/2014 12:49,,,,1,1,2593,N
Delhi (NR),AMBALA TERMINAL,FREEDOM FIGHTER FILLING ST,179867,31.73327,76.50113,Accepted,Ambala,23-Jun-11,236,588561,1,7/25/2014 12:45,,,,1,1,2077,N
Uttar Pradesh 2 (NR),Meerut Terminal,FREESCALE SEMICONDUCTOR INDIA,253429,28.566813,77.314721,Accepted,AB,21-Nov-11,67,17501,1,1/8/2015 21:42,1,,,1,1,14772,N
Uttar Pradesh 2 (NR),Haldwani Depot,FRIENDS FILLING STATION,174635,29.192112,79.507744,Accepted,AGARWAL,10-Mar-11,16,1386,1,1/8/2015 21:42,1,,,1,1,13806,N
Uttar Pradesh 2 (NR),Agra Top,FRIENDS FUEL POINT,260213,27.163036,78.410423,Accepted,GIR RAJ PRASAD,4-Aug-12,25,19930,1,1/8/2015 21:42,1,,,1,1,13365,N
Punjab (NR),JALANDHAR TERMINAL,FRIENDS SERVICE STATION-625,187425,31.679417,74.955113,Accepted,VASHISHTN,2-Sep-11,89,61184,1,10/15/2014 14:56,1,,,1,1,6218,N
Punjab (NR),Jalandhar Terminal,FRIENDS SERVICE STATION-625,187425,31.679417,74.955113,Accepted,S_KUMAR,2-Feb-15,,598587,0,2/2/2015 12:59,1,2/2/2015 12:59,52,1,1,6218,N
Delhi (NR),Bijwasan Terminal,FRIGERIO CONSERVA ALLANA LTD,247078,27.859467,78.039391,Accepted,ABHISHEK TRIPATHI,26-Jul-12,149,10950,1,7/25/2014 12:49,,,,1,1,2588,N
Punjab (NR),SANGRUR TERMINAL,FUEL FOUNTAIN,180146,30.93199,75.412422,Accepted,N K Agarwal,3-Apr-15,115.5,3215,1,10/15/2014 14:56,1,,,1,1,7409,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,FUEL ONE FILLING CENTER,186363,26.867338,80.922577,Accepted,A K,6-Jul-11,106.5,586944,1,7/25/2014 12:30,,,,1,1,822,N
Uttar Pradesh 1 (NR),Kanpur Terminal,FUEL POINT,186526,,,Accepted,SUNIL_KUMAR,11-Sep-15,197.133337,591307,1,10/4/2014 13:50,6,,,1,1,4890,N
Uttar Pradesh 2 (NR),Shahjahanpur Depot,FUEL POINT,186526,27.592644,80.720482,Accepted,KUMAR,8-Jul-11,105,607,1,1/8/2015 21:42,1,,,1,1,15230,N
Uttar Pradesh 2 (NR),Meerut Terminal,FUTURO COMPONENTS (P) LTD.,189692,28.686296,77.520131,Accepted,UPSO2 Ops,23-Nov-11,52,104049,1,1/8/2015 21:42,1,,,1,1,15021,N
Karnataka (SR),Hassan Top,G CHANNABASAPPA  AGENCIES,152595,14.32488,76.65096,Accepted,AS,10-Mar-11,212,53031,1,2/5/2015 9:21,,,,1,1,17696,N
Uttar Pradesh 1 (NR),Lucknow Terminal,G JAGWANI FILLING STATION,276897,,,Accepted,SUNIL_KUMAR,9-Sep-15,108.0377994,592819,1,10/8/2014 10:00,6,,,1,1,5228,N
Karnataka (SR),Bangalore Terminal,G R R PETROLEUM,187651,13.35498,77.102912,Accepted,A Srikanth,12-Nov-12,,20295,1,2/5/2015 9:21,,,,1,1,16625,N
Karnataka (SR),Hassan Top,G R R PETROLEUM,187651,13.35498,77.102912,Accepted,AS,1-Dec-11,134,53033,1,2/5/2015 9:21,,,,1,1,17571,N
Karnataka (SR),Bijapur Depot,G.G.AKKIMARDI,117984,16.186597,75.612187,Accepted,P VANSAKUMARAN,20-Jul-11,79,22026,1,2/5/2015 9:21,,,,1,1,16689,N
Delhi (NR),REWARI TERMINAL,G.K.DAIRY & MILK PRODUCTS,101921,28.275625,77.273628,Accepted,DSO,13-Dec-11,94.5,7589,1,7/25/2014 12:59,,,,1,1,4097,N
Karnataka (SR),Bijapur Depot,G.P.PORWAL,117953,16.832113,75.716011,Accepted,SK_PANDEY,25-Aug-15,,1209,0,8/25/2015 11:49,,8/25/2015 11:49,10043,1,1,16564,N
Uttar Pradesh 2 (NR),Meerut Terminal,G.R. FILLING STATION,249890,28.395409,77.627632,Accepted,MKJ,13-Jun-12,87,18686,1,1/8/2015 21:42,1,,,1,1,14896,N
Karnataka (SR),Navalur Depot,G.RAJASEKHARAPPA,118103,15.439454,76.52691,Accepted,VIJAYAKUMAR,26-Jul-11,175,96021,1,2/5/2015 9:21,,,,1,1,18005,N
Uttar Pradesh 2 (NR),Agra Top,G.T. MULTI SERVICE STN,156059,27.231651,79.036362,Accepted,Agra Top,,120,1047,1,1/8/2015 21:42,1,,,1,1,13488,N
Karnataka (SR),Belgaum Depot,G.V.DESHNUR & CO,118442,15.81449,74.849664,Accepted,KANT,18-Nov-11,57.5,33011,1,2/5/2015 9:21,,,,1,1,16653,N
Karnataka (SR),Navalur Depot,GADAG CO-OP.COTTON SALE SOC LTD,117913,15.424272,75.636383,Accepted,T JAYAKUMAR,21-Jan-12,68,96101,1,2/5/2015 9:21,,,,1,1,18060,N
Punjab (NR),SANGRUR TERMINAL,GAGAN FILLING STATION,187294,30.307747,76.327446,Accepted,Rajeev Sharma,2-Mar-15,52,123149,1,10/15/2014 14:56,1,,,1,1,7408,N
Uttar Pradesh 2 (NR),Agra Top,GAIL K.V.S.S LIMITED,213625,26.682997,79.154015,Accepted,AT,3-Nov-11,168,588118,1,1/8/2015 21:42,1,,,1,1,13613,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,GAIL K.V.S.S LIMITED,213625,26.682997,79.154015,Accepted,AT,29-Jun-12,107,589132,1,7/25/2014 12:30,,,,1,1,823,N
Karnataka (SR),Belgaum Depot,GAJANAN TRADERS,162472,15.876646,74.444974,Accepted,KANT,6-Jan-12,22.5,33013,1,2/5/2015 9:21,,,,1,1,16901,N
Uttar Pradesh 2 (NR),Bareilly Depot,GANAPATI KISAN SEWA KENDRA,253772,28.62993,78.769821,Accepted,DINESH SINGH,16-Jan-13,68,17447,1,1/8/2015 21:42,1,,,1,1,13570,N
Uttar Pradesh 2 (NR),Najibabad Depot,GANDEVAR FILLING STATION,156202,30.199165,77.597565,Accepted,R_B,22-Jun-12,137,858,1,1/8/2015 21:42,1,,,1,1,14660,N
Uttar Pradesh 2 (NR),Meerut Terminal,GANDHI FILLING STATION,201508,28.869732,77.927926,Accepted,Partapur,,42,104051,1,1/8/2015 21:42,1,,,1,1,15145,N
Uttar Pradesh 1 (NR),GONDA DEPOT,GANDHI SERVICE STATION,186433,26.99551,82.371246,Accepted,KUMAR,5-Jul-11,50,46026,1,7/25/2014 12:28,,,,1,1,482,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,GANESH DAS RAM  GOPAL,186327,26.833156,80.924299,Accepted,A K,6-Jul-11,101,586945,1,7/25/2014 12:30,,,,1,1,824,N
Uttar Pradesh 1 (NR),Lucknow Terminal,GANESH DAS RAM  GOPAL,186327,26.833156,80.924299,Accepted,Ravi Kumar Singh,24-Aug-15,,601986,1,8/12/2015 15:50,6,,,1,1,20641,N
Punjab (NR),SANGRUR TERMINAL,GANESH FILLING STATION,165542,30.675953,75.808899,Accepted,K K Gupta,3-Apr-15,60,123013,1,10/15/2014 14:56,1,,,1,1,7509,N
Karnataka (SR),Mysore Depot,GANESH KISAN SEVA KENDRA,224177,12.535428,76.879868,Accepted,shilpi,11-May-15,41,2836,1,2/5/2015 9:21,,,,1,1,17792,N
Punjab (NR),SANGRUR TERMINAL,GANESH OIL COMPANY,111031,29.938019,76.06897,Accepted,Gupta Mukesh,24-Feb-15,38,123152,1,10/15/2014 14:56,1,,,1,1,7406,N
Karnataka (SR),Hassan Top,GANESH PETROLEUMS,118160,15.152378,76.927242,Accepted,BASUMATARY,20-Sep-11,305.5,53034,1,2/5/2015 9:21,,,,1,1,17694,N
Uttar Pradesh 2 (NR),Bareilly Depot,"GANESH POLYTEX LTD.,PANT NAGAR",238629,29.014442,79.407646,Accepted,ABHISHEK AGGARWAL,10-Jan-13,128,7215,1,1/8/2015 21:42,1,,,1,1,13445,N
Karnataka (SR),Navalur Depot,GANGA OIL AGENCY,234471,15.949045,75.292473,Accepted,VSREENATH,21-Dec-11,102,10151,1,2/5/2015 9:21,,,,1,1,18172,N
Karnataka (SR),Navalur Depot,GANGADHAR TRADING COMPANY,117904,15.421079,75.598859,Accepted,T JAYAKUMAR,9-Jan-12,64,96023,1,2/5/2015 9:21,,,,1,1,18006,N
Karnataka (SR),Belgaum Depot,GANGAMATA PETROLEUM,196673,16.244948,75.037599,Accepted,KANT,17-Nov-11,108.5,33014,1,2/5/2015 9:21,,,,1,1,16528,N
Uttar Pradesh 2 (NR),Meerut Terminal,GANGOL DUGDH UTPADAK SAHA.SANGH LTD,103221,28.903956,77.672185,Accepted,RAGHUVIR SINGH MEENA,25-Mar-13,12,587320,1,1/8/2015 21:42,1,,,1,1,15019,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,GANGOTRI HITECH FILLING STN (HALIYAUR),165500,26.527128,81.798729,Accepted,Kanpur,11-Nov-11,197.5,937,1,7/25/2014 12:30,,,,1,1,825,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,GANGOTRI HITECH FILLING STN (HALIYAUR),165500,26.527128,81.798729,Accepted,Amousi,25-Oct-11,113.5,8299,1,7/25/2014 12:34,,,,1,1,1278,N
Uttar Pradesh 2 (NR),Bareilly Depot,GANGWAR ENERGY POINT (IBP),198274,28.524868,79.616867,Accepted,M K Gupta,14-Mar-12,74,7642,1,1/8/2015 21:42,1,,,1,1,13320,N
Uttar Pradesh 2 (NR),Bareilly Depot,GANGWAR KISAN SEWA KENDRA,236861,28.733871,79.198639,Accepted,null,13-Sep-12,92,7961,1,1/8/2015 21:42,1,,,1,1,13195,N
Punjab (NR),SANGRUR TERMINAL,GANPATI F. ST.,187509,30.369871,76.158638,Accepted,Rajeev Sharma,2-Mar-15,42.5,123154,1,10/15/2014 14:56,1,,,1,1,7442,N
Uttar Pradesh 1 (NR),GONDA DEPOT,GANPATI FILLING CENTRE,226671,27.555389,81.741859,Accepted,GUPTA,23-Mar-11,62.5,94,1,7/25/2014 12:28,,,,1,1,481,N
Uttar Pradesh 2 (NR),Najibabad Depot,GANPATI FILLING STATION,186632,29.961776,77.559346,Accepted,Najibabad,31-Jan-11,121.5,92056,1,1/8/2015 21:42,1,,,1,1,14283,N
Uttar Pradesh 1 (NR),Allahabad Terminal,GANPATI KRIPA,186282,25.497929,82.009941,Accepted,Kuldip Sarma,19-Aug-15,91,5035,0,11/29/2014 17:01,,11/29/2014 17:01,21,1,1,10136,N
Delhi (NR),Bijwasan Terminal,Ganpati Service Centre,106260,28.712216,77.102533,Accepted,sumit gupta,21-Feb-11,36,23018,1,7/25/2014 12:49,,,,1,1,2602,N
Delhi (NR),PANIPAT TOP,GANPATI SERVICE STATION,186913,28.112133,75.970869,Accepted,BIPINKUMAR,24-Feb-11,223.5,102141,1,7/25/2014 12:54,,,,1,1,3144,N
Punjab (NR),SANGRUR TERMINAL,GARCHA FILLING STATION,111005,30.896606,76.407109,Accepted,Sumita Chatterjee,,117,123155,1,10/15/2014 14:56,1,,,1,1,7405,N
Punjab (NR),SANGRUR TERMINAL,GARG ENTERPRISES,181529,30.325397,75.47834,Accepted,Jogesh Duvedi,25-Feb-15,45,3234,1,10/15/2014 14:56,1,,,1,1,7507,N
Punjab (NR),SANGRUR TERMINAL,GARG FILLING STATION,187297,30.236452,75.843529,Accepted,Gupta Mukesh,24-Feb-15,19.5,123157,1,10/15/2014 14:56,1,,,1,1,7474,N
Punjab (NR),SANGRUR TERMINAL,GARG FILLING STATION (KHERI),171283,30.824986,75.815435,Accepted,K K Gupta,3-Apr-15,79,123156,1,10/15/2014 14:56,1,,,1,1,7441,N
Punjab (NR),Bathinda Terminal,GARG MOTORS(*),164818,30.725114,75.102695,Accepted,A S DHILLON,22-Mar-15,,16017,0,2/12/2015 13:05,1,2/12/2015 13:05,3135,1,1,5662,N
Punjab (NR),BATHINDA TERMINAL,GARG OIL STORE(*),109133,29.990948,75.085732,Accepted,Ajith Singh,21-Jan-15,23,16018,1,10/15/2014 14:56,1,,,1,1,5626,N
Uttar Pradesh 2 (NR),Meerut Terminal,GARG TUBE PVT. LTD.,105482,28.609194,77.495811,Accepted,AB,21-Nov-11,55,18492,1,1/8/2015 21:42,1,,,1,1,14894,N
Uttar Pradesh 2 (NR),Najibabad Depot,GARHIPUKHTA KISSAN SEVA KENDRA,223394,29.628304,77.246979,Accepted,VG,6-Sep-11,143.5,2456,1,1/8/2015 21:42,1,,,1,1,14658,N
Punjab (NR),BATHINDA TERMINAL,GARIB NAWAZ MOTORS,176770,29.905689,74.652244,Accepted,R S RAWAT,24-Jan-15,47.5,16158,1,10/15/2014 14:56,1,,,1,1,5731,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,GATTANI AUTOMBILES,186328,26.739152,81.169766,Accepted,Amousi,,46,8055,1,7/25/2014 12:34,,,,1,1,1275,N
Uttar Pradesh 1 (NR),GONDA DEPOT,GAURAV FILLING STATION,261610,26.680237,82.566081,Accepted,Gonda,25-Jun-12,88.5,20557,1,7/25/2014 12:28,,,,1,1,484,N
Uttar Pradesh 1 (NR),BAITALPUR DEPOT,GAURAV PETROLEUM,156091,26.751377,83.22831,Accepted,Baitalpur,,56,11059,1,7/25/2014 12:26,,,,1,1,198,N
Delhi (NR),AMBALA TERMINAL,GAUTAM FILLING STATION,195795,31.35725,76.32491,Accepted,Narinder Mohan Sharma,26-Jun-11,150,588625,1,7/25/2014 12:45,,,,1,1,2087,N
Delhi (NR),Bijwasan Terminal,Gautam Filling Station,106261,28.679817,77.089216,Accepted,Bijwasan,,27.5,23094,1,7/25/2014 12:49,,,,1,1,2603,N
Punjab (NR),Jalandhar Terminal,GAUTAM FILLING STATION,195795,31.35725,76.32491,Accepted,AUTO-LOADED-FROM-INVOICE-DATA,4-Oct-14,,591762,1,10/4/2014 18:50,6,,,1,1,4981,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,GAUTAM SERVICE STATION,186386,25.790591,82.691821,Accepted,KUMAR,7-Jul-11,101,89089,1,7/25/2014 12:35,,,,1,1,1557,N
Delhi (NR),Bijwasan Terminal,Gay Service Station,102111,28.703465,77.181146,Accepted,Bijwasan,,35,23019,1,7/25/2014 12:49,,,,1,1,2604,N
Uttar Pradesh 2 (NR),Meerut Terminal,GAYATRI PROJECTS LTD,204906,29.173003,77.716113,Accepted,NK,,30,587325,1,1/8/2015 21:42,1,,,1,1,15017,N
Uttar Pradesh 2 (NR),Meerut Terminal,GC CRPF GREATER NOIDA,516925,28.527747,77.456708,Accepted,SMT,3-Dec-11,86,104035,1,1/8/2015 21:42,1,,,1,1,14892,N
Delhi (NR),Bijwasan Terminal,Gee Kay Services,186858,28.671173,77.27061,Accepted,Bijwasan,16-Feb-11,33,23268,1,7/25/2014 12:49,,,,1,1,2605,N
Uttar Pradesh 1 (NR),GONDA DEPOT,GEETA PETROLEUM,178420,27.368835,81.524738,Accepted,Gonda,,78.5,46028,1,7/25/2014 12:28,,,,1,1,483,N
Uttar Pradesh 2 (NR),Roorkee Top,GEHLOT SERVICE STATION,161168,29.265936,78.850975,Accepted,GARG RAKESH KUMAR,29-Dec-12,175.5,811,1,1/8/2015 21:42,1,,,1,1,14934,N
Uttar Pradesh 2 (NR),Agra Top,GENDAN LAL KISSAN SEWA KENDRA,209475,26.910103,79.93457,Accepted,Agra Top,,203,1600,1,1/8/2015 21:42,1,,,1,1,13236,N
Uttar Pradesh 1 (NR),Kanpur Terminal,GENDAN LAL KISSAN SEWA KENDRA,209475,26.910103,79.93457,Accepted,SINGHAL_R,11-Sep-15,,592414,0,9/11/2015 23:08,6,9/11/2015 23:08,13333,1,1,5116,N
Delhi (NR),PANIPAT TOP,GENPACT INDIA LTD,502283,28.4483,77.0989,Accepted,DSO,2-Dec-11,169.5,588333,1,7/25/2014 12:54,,,,1,1,3145,N
Delhi (NR),PANIPAT TOP,GETRAG HI-TECH GEARS (INDIA)BHIWADI,110915,28.2196,76.8508,Accepted,DSO,2-Dec-11,189,588334,1,7/25/2014 12:54,,,,1,1,3146,N
Punjab (NR),Jalandhar Terminal,GHALLUWAL FILLING STATION,253904,31.476601,76.214694,Accepted,AUTO-LOADED-FROM-INVOICE-DATA,6-Oct-14,,592306,1,10/6/2014 11:20,6,,,1,1,5080,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,GHOSI PETROLEUM,198569,26.100385,83.544853,Accepted,R R,8-Aug-11,143,4807,1,7/25/2014 12:35,,,,1,1,1560,N
Punjab (NR),BATHINDA TERMINAL,GILL KISAN SEWA KENDRA,233125,29.667946,75.305977,Accepted,Pradeep Sharma,25-Jan-15,76.5,4066,1,10/15/2014 14:56,1,,,1,1,5694,N
