S.No,New Device Number,NewMobileNumber,NewInstallation,INSTALLEDON,VehicleNumber,TransporterName,01-SEP'-15,02-SEP'-15,03-SEP'-15,04-SEP'-15,05-SEP'-15,06-SEP'-15,07-SEP'-15,08-SEP'-15,09-SEP'-15,10-SEP'-15,11-SEP'-15,12-SEP'-15,13-SEP'-15,14-SEP'-15,15-SEP'-15,16-SEP'-15,17-SEP'-15,18-SEP'-15,19-SEP'-15,20-SEP'-15,21-SEP'-15,22-SEP'-15,23-SEP'-15,24-SEP'-15,25-SEP'-15,26-SEP'-15,27-SEP'-15,28-SEP'-15,29-SEP'-15,30-SEP'-15,R,P,UM,UI,N,UI+N,BILLING YES/NO,Remark
396,EEB1500136,7506928608,OL001/00419,16-Dec-11,RJ14GD0298,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
397,QCQ1204201,8879645771,OL001/00420,16-Dec-11,NL02D7797,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,R,P,P,27,3,0,0,0,0,YES,
398,QCQ1100375,8879442254,OL001/00421,16-Dec-11,NL02G0968,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
399,QCQ1101948,8879697944,OL001/00422,16-Dec-11,RJ14GC9058,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
400,QCQ1205253,9449597800,OL001/00423,16-Dec-11,NL02G4097,MSIL-OSLLOGISTICSPVT.LTD,P,P,P,R,R,R,R,R,R,P,R,R,R,R,R,R,P,P,P,P,P,P,P,R,P,R,P,P,P,P,14,16,0,0,0,0,YES,
401,QCQ1100395,8879442276,OL001/00424,16-Dec-11,NL02G7557,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,14,16,0,0,0,0,YES,
402,QCQ1101217,8879612568,OL001/00425,17-Dec-11,RJ14GE2855,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,5,0,0,0,0,YES,
403,QCQ1100651,8879442540,OL001/00426,17-Dec-11,RJ14GC8783,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
404,QCQ1100867,8879442758,OL001/00427,17-Dec-11,RJ14GC6961,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
405,QCQ1204404,8879690405,OL001/00428,17-Dec-11,RJ14GB7937,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
406,QCQ1102905,8879614281,OL001/00429,17-Dec-11,HR38K0279,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,0,0,30,0,0,0,YES,
407,QCQ1101694,8879613052,OL001/00430,17-Dec-11,RJ14GD0637,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
408,QCQ1100996,8879442889,OL001/00431,17-Dec-11,RJ14GD2423,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,27,3,0,0,0,0,YES,
409,QCQ1204745,8879676774,OL001/00432,17-Dec-11,RJ14GC2538,MSIL-K M TRANS LOGISTICS PVT. LTD,P,P,P,R,R,R,R,R,R,P,R,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,P,R,R,R,24,6,0,0,0,0,YES,
410,QCQ1203992,8879678735,OL001/00433,17-Dec-11,HR55D9450,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
411,QCQ1204141,8879678887,OL001/00434,17-Dec-11,HR55F2125,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
412,QCQ1101313,8879612666,OL001/00435,17-Dec-11,RJ14GC5426,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,R,R,28,2,0,0,0,0,YES,
413,QCQ1100539,8879442427,OL001/00436,17-Dec-11,NL02G0115,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
414,QCQ1100305,8879442179,OL001/00437,17-Dec-11,RJ09GB1556,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,3,27,0,0,0,0,YES,
415,QCQ1101004,8879442897,OL001/00438,17-Dec-11,HR55C2179,MSIL-TVS RHR FINISHED VEHILCES LOGISTICS,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
416,QCQ1101018,8879442912,OL001/00439,17-Dec-11,HR55L5134,MSIL-VINODROADLINESPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
417,QCQ1102537,8879613909,OL001/00440,17-Dec-11,HR55N3540,MSIL-VINODROADLINESPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
418,QCQ1101093,8879612443,OL001/00441,17-Dec-11,HR55H6379,MSIL-VINODROADLINESPVTLTD,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,0,0,30,0,0,0,YES,
419,QCQ1101223,8879612574,OL001/00442,17-Dec-11,UP17T1401,MSIL-VINODROADLINESPVTLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
420,QCQ1102993,8879614370,OL001/00443,17-Dec-11,NL02K2201,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
421,QCQ1101823,8879613183,OL001/00444,17-Dec-11,NL02G0120,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
422,QCQ1204617,8879676783,OL001/00445,17-Dec-11,RJ14GC3272,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
423,QCQ1204508,8879676907,OL001/00446,17-Dec-11,HR38N8369,MSIL-SANDEEP LOGISTICS PVT LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
424,QCQ1100870,8879442804,OL001/00448,17-Dec-11,NL01D6270,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
425,QCQ1102103,8879613468,OL001/00449,17-Dec-11,NL02G7562,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
426,QCQ1101078,8879612428,OL001/00450,18-Dec-11,NL01L0087,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
427,QCQ1101165,8879612516,OL001/00451,18-Dec-11,RJ14GF8128,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,2,0,0,0,0,YES,
428,QCQ1203767,8879678408,OL001/00452,18-Dec-11,HR55M7270,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
429,QCQ1100139,8879460191,OL001/00453,18-Dec-11,RJ14GD3967,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,R,R,23,7,0,0,0,0,YES,
430,QCQ1101140,8879612490,OL001/00455,18-Dec-11,RJ14GD4774,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
431,QCQ1101765,8879613124,OL001/00456,18-Dec-11,RJ14GD6310,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
432,QCQ1100502,8879442388,OL001/00457,18-Dec-11,RJ29GA0856,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
433,EEB1500452,7506933546,OL001/00458,18-Dec-11,RJ14GC5821,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
434,QCQ1204356,8879690356,OL001/00459,18-Dec-11,HR55H4226,MSIL-TVS RHR FINISHED VEHILCES LOGISTICS,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
435,QCQ1204585,8879676984,OL001/00460,18-Dec-11,HR55K4692,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
436,EEB1500376,7506933281,OL001/00461,18-Dec-11,RJ14GC6534,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
437,QCQ1204329,8879690329,OL001/00462,18-Dec-11,RJ14GC5030,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
438,QCQ1101210,8879612561,OL001/00463,19-Dec-11,HR55C2174,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,R,R,R,R,29,1,0,0,0,0,YES,
439,QCQ1102277,8879613645,OL001/00464,19-Dec-11,RJ14GC3005,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
440,QCQ1101468,8879612824,OL001/00465,19-Dec-11,HR55M3183,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
441,QCQ1101095,8879612445,OL001/00466,19-Dec-11,HR55C2178,MSIL-TVS RHR FINISHED VEHILCES LOGISTICS,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,0,0,30,0,0,0,YES,
442,QCQ1102612,8879613984,OL001/00467,19-Dec-11,HR55L6905,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
443,QCQ1204639,8879676808,OL001/00468,19-Dec-11,RJ14GC9117,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
444,QCQ1101109,8879612459,OL001/00469,19-Dec-11,RJ14GC5028,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
445,QCQ1102813,8879614188,OL001/00470,19-Dec-11,NL02G1537,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,R,R,R,R,R,R,R,23,7,0,0,0,0,YES,
446,QCQ1103377,8879678014,OL001/00471,19-Dec-11,RJ14GC8417,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
447,QCQ1103168,8879618820,OL001/00472,19-Dec-11,RJ14GD6370,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
448,QCQ1103135,8879618785,OL001/00473,19-Dec-11,HR55B4621,MSIL-TVS RHR FINISHED VEHILCES LOGISTICS,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,0,0,30,0,0,0,YES,
449,QCQ1204768,8879697892,OL001/00474,19-Dec-11,RJ14GB8003,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
450,QCQ1102239,8879613606,OL001/00475,19-Dec-11,NL02K2229,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,25,5,0,0,0,0,YES,
451,QCQ1103325,9167240075,OL001/00476,19-Dec-11,NL02K2211,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,2,0,0,0,0,YES,
452,QCQ1100273,8879787654,OL001/00477,19-Dec-11,HR38N8365,MSIL-SANDEEP LOGISTICS PVT LTD,R,R,R,R,R,R,P,P,R,P,P,R,R,R,P,P,P,P,R,R,P,R,R,P,P,P,P,R,R,P,16,14,0,0,0,0,YES,
453,QCQ1101203,8879612554,OL001/00478,19-Dec-11,HR55H8940,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
454,QCQ1101399,8879612753,OL001/00479,19-Dec-11,NL01D3483,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
455,QCQ1101226,8879612577,OL001/00480,19-Dec-11,HR55C2180,MSIL-TVS RHR FINISHED VEHILCES LOGISTICS,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,0,0,30,0,0,0,YES,
456,QCQ1203884,8879678526,OL001/00481,19-Dec-11,RJ14GD2519,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,2,0,0,0,0,YES,
457,QCQ1101580,8879442232,OL001/00482,19-Dec-11,RJ14GC1396,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,R,R,R,R,R,R,R,R,24,6,0,0,0,0,YES,
458,QCQ1100532,8879442419,OL001/02921,4-Jun-12,HR55H4959,MSIL-AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
459,QCQ1100538,8879442426,OL001/00484,19-Dec-11,NL01G4078,MSIL-KISHORETRANSPORT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
460,QCQ1205069,8451848710,OL001/00485,19-Dec-11,HR55M6504,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
461,QCQ1100045,8879460277,OL001/00486,19-Dec-11,RJ14GC4750,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
462,QCQ1204062,8879678808,OL001/00487,19-Dec-11,NL01G4201,MSIL-KISHORETRANSPORT,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
463,QCQ1103004,8879614381,OL001/00488,19-Dec-11,HR55F0130,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,2,0,0,0,0,YES,
464,QCQ1101747,8879613106,OL001/00489,19-Dec-11,HR55E9823,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
465,QCQ1103104,8879618754,OL001/00490,19-Dec-11,HR55M7267,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
466,QCQ1102084,8879613448,OL001/00491,19-Dec-11,HR55C2193,MSIL-TVS RHR FINISHED VEHILCES LOGISTICS,P,P,P,P,P,P,P,P,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,16,14,0,0,0,0,YES,
467,QCQ1101754,8879613113,OL001/00492,19-Dec-11,HR55G0410,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
468,QCQ1101074,8879612424,OL001/00493,19-Dec-11,HR55C3193,MSIL-TVS RHR FINISHED VEHILCES LOGISTICS,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,28,2,0,0,0,0,YES,
469,QCQ1101227,8879612578,OL001/00494,20-Dec-11,HR55H9115,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
470,QCQ1101131,8879612481,OL001/00495,20-Dec-11,RJ14GC3239,MSIL-SHRIKRSNAURJAPROJECTLIMITED,P,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,23,7,0,0,0,0,YES,
471,QCQ1103378,8879678015,OL001/00496,20-Dec-11,RJ14GD3966,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,R,R,16,14,0,0,0,0,YES,
472,QCQ1101092,8879612442,OL001/00497,20-Dec-11,NL01G4583,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
473,QCQ1203547,8879678185,OL001/00498,20-Dec-11,HR55C1439,MSIL-TVS RHR FINISHED VEHILCES LOGISTICS,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
474,QCQ1204469,8879690470,OL001/00499,20-Dec-11,HR55M1882,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,29,1,0,0,0,0,YES,
475,QCQ1305988,9440685024,OL001/00500,20-Dec-11,HR55K4665,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,R,R,22,8,0,0,0,0,YES,
476,QCQ1100078,8879460130,OL001/00501,20-Dec-11,HR55K4812,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
477,QCQ1203818,8879678459,OL001/00502,20-Dec-11,NL01K6741,MSIL-KISHORETRANSPORT,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,R,R,R,R,R,R,R,R,24,6,0,0,0,0,YES,
478,QCQ1100051,8879460283,OL001/00503,20-Dec-11,HR55H8516,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
479,QCQ1100949,8879442842,OL001/00504,20-Dec-11,MH18M7959,MSIL-KISHORETRANSPORT,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,0,0,0,2,2,YES,
480,QCQ1101937,8879613298,OL001/00505,20-Dec-11,HR55H9116,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
481,QCQ1101392,8879612746,OL001/00506,20-Dec-11,HR55H9120,MSIL-ICM LOGISTICS PVT LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
482,QCQ1100957,8879442850,OL001/00508,20-Dec-11,HR55M7268,MSIL-ICM LOGISTICS PVT LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
483,QCQ1100940,8879442833,OL001/00509,20-Dec-11,NL01K3344,MSIL-KISHORETRANSPORT,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,R,R,R,R,P,R,R,R,R,R,27,3,0,0,0,0,YES,
484,QCQ1102578,8879613950,OL001/00510,20-Dec-11,HR38M5634,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
485,QCQ1204357,8879690357,OL001/00511,20-Dec-11,MH18M6143,MSIL-KISHORETRANSPORT,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,30,30,NO,
486,QCQ1103296,8879677930,OL001/00512,20-Dec-11,NL01G4203,MSIL-KISHORETRANSPORT,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,12,18,0,0,0,0,YES,
487,QCQ1103387,8879678024,OL001/00507,20-Dec-11,NL01K7608,MSIL-KISHORETRANSPORT,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,R,R,R,R,R,R,R,R,27,3,0,0,0,0,YES,
488,QCQ1101177,8879612528,OL001/00513,21-Dec-11,RJ14GD0639,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
489,QCQ1100443,8879442328,OL001/00515,21-Dec-11,RJ14GD2034,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
490,QCQ1100697,8879442586,OL001/00516,21-Dec-11,NL01D3482,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,R,R,R,R,28,2,0,0,0,0,YES,
491,QCQ1204195,8879679043,OL001/00517,21-Dec-11,NL02G0105,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,28,2,0,0,0,0,YES,
492,EEB1500446,7506932968,OL001/00518,21-Dec-11,RJ14GC2894,MSIL-K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,R,P,P,R,R,R,R,R,R,R,R,R,R,26,4,0,0,0,0,YES,
